created_at,username,tweet,web,location
Wed Oct 13 02:07:50 +0000 2021,sinosijac,"@schfess ini ppdb jakarta bukan? sepengalamanku, ppdb jakarta kalau lewat zonasi itu berdasarkan rt/rw terdekat sekolah, bukan berdasarkan meternya. tapi aku gak tahu ya soal ppdb wilayah lain, semangat utk adeknya semoga masuk sekolah yang diinginkan.",https:twitter.com/sinosijac/status/1448108186855223297,"she/her, harshword."
Sun Oct 10 14:54:28 +0000 2021,Lionelbarcalope,"Dalam tiga minggu terakhir, Indonesia telah resmi terbebas dari zona merah alias wilayah berisiko tinggi Covid-19. Berdasarkan peta zonasi risiko, tak ada zona merah yang tersisa. #ZonaHijauCovid https://t.co/aIOftcISuS",https:twitter.com/Lionelbarcalope/status/1447213951486283779,"Medan Kota, Indonesia"
Sun Oct 10 14:45:14 +0000 2021,BantengnyaPDIP,"Dalam tiga minggu terakhir, Indonesia telah resmi terbebas dari zona merah alias wilayah berisiko tinggi Covid-19. Berdasarkan peta zonasi risiko, tak ada zona merah yang tersisa. #ZonaHijauCovid https://t.co/5En9BKY5uQ",https:twitter.com/BantengnyaPDIP/status/1447211625245601794,
Sun Oct 10 12:20:10 +0000 2021,tpiboonggg,"Dalam tiga minggu terakhir, Indonesia telah resmi terbebas dari zona merah alias wilayah berisiko tinggi Covid-19. Berdasarkan peta zonasi risiko, tak ada zona merah yang tersisa. #ZonaHijauCovid https://t.co/9FpwCajmtQ",https:twitter.com/tpiboonggg/status/1447175121446195208,Cangtip tapi boong
Sun Oct 10 12:11:39 +0000 2021,akufelfel,"Dalam tiga minggu terakhir, Indonesia telah resmi terbebas dari zona merah alias wilayah berisiko tinggi Covid-19. Berdasarkan peta zonasi risiko, tak ada zona merah yang tersisa. #ZonaHijauCovid https://t.co/KW8plQyc8q",https:twitter.com/akufelfel/status/1447172976026152966,"DKI Jakarta, Indonesia"
Sun Oct 10 12:04:48 +0000 2021,viavianiii,"Dalam tiga minggu terakhir, Indonesia telah resmi terbebas dari zona merah alias wilayah berisiko tinggi Covid-19. Berdasarkan peta zonasi risiko, tak ada zona merah yang tersisa. #ZonaHijauCovid https://t.co/HHUKlKUiL4",https:twitter.com/viavianiii/status/1447171251852566528,"DKI Jakarta, Indonesia"
Sun Oct 10 11:55:38 +0000 2021,canputtt,"Dalam tiga minggu terakhir, Indonesia telah resmi terbebas dari zona merah alias wilayah berisiko tinggi Covid-19. Berdasarkan peta zonasi risiko, tak ada zona merah yang tersisa. #ZonaHijauCovid https://t.co/9nnVBdan8X",https:twitter.com/canputtt/status/1447168944842805253,"DKI Jakarta, Indonesia"
Sun Oct 10 10:50:36 +0000 2021,mahesatiwi,"Dalam tiga minggu terakhir, Indonesia telah resmi terbebas dari zona merah alias wilayah berisiko tinggi Covid-19. Berdasarkan peta zonasi risiko, tak ada zona merah yang tersisa. #ZonaHijauCovid https://t.co/RCEX61eieL",https:twitter.com/mahesatiwi/status/1447152581361369088,"DKI Jakarta, Indonesia"
Sun Oct 10 04:43:12 +0000 2021,Apede16,"19. Dalam tiga minggu terakhir, Indonesia telah resmi terbebas dari zona merah alias wilayah berisiko tinggi Covid-19. Berdasarkan peta zonasi risiko, tak ada zona merah yang tersisa. #ZonaHijauCovid https://t.co/jxLGvYHAIc",https:twitter.com/Apede16/status/1447060118575542273,seminyak
Sun Oct 10 04:28:35 +0000 2021,corinasocialy,"20 Dalam tiga minggu terakhir, Indonesia telah resmi terbebas dari zona merah alias wilayah berisiko tinggi Covid-19. Berdasarkan peta zonasi risiko, tak ada zona merah yang tersisa. #ZonaHijauCovid https://t.co/PaAOcHSME0",https:twitter.com/corinasocialy/status/1447056441613815821,
Sun Oct 10 04:25:43 +0000 2021,TempoeDoeloee,"Dalam tiga minggu terakhir, Indonesia telah resmi terbebas dari zona merah alias wilayah berisiko tinggi Covid-19. Berdasarkan peta zonasi risiko, tak ada zona merah yang tersisa. #ZonaHijauCovid https://t.co/s7mC9nJINv",https:twitter.com/TempoeDoeloee/status/1447055721644711945,
Sun Oct 10 04:19:33 +0000 2021,Anak_Senja90,"Dalam tiga minggu terakhir, Indonesia telah resmi terbebas dari zona merah alias wilayah berisiko tinggi Covid-19. Berdasarkan peta zonasi risiko, tak ada zona merah yang tersisa. #ZonaHijauCovid https://t.co/D4ogENJMUj",https:twitter.com/Anak_Senja90/status/1447054168372367362,"Denpasar Selatan, Indonesia"
Sat Oct 09 00:02:35 +0000 2021,JimiMdjamhuri,"@Auriga_Mercury Di wilayah saya mah ada pemilihan ketua RT syarat nya harus banyak berjanji, yg paling banyak janjinya itu yg menang. Krn warga di wilayah kita dalam zonasi PHP. 

🙄",https:twitter.com/JimiMdjamhuri/status/1446627111528112128,
Thu Oct 07 15:26:33 +0000 2021,bon_amicf,"@AnandaAbee @subcyclist @prayogiee82 @Kemdikbud_RI @e100ss Bukannya sekarang sekolah udah zonasi wilayah ya? Untuk yang negeri? Kalo tidak salah, mon maaf ni ya kalo salah",https:twitter.com/bon_amicf/status/1446134861614305280,
Thu Oct 07 08:00:00 +0000 2021,KompasData,"Sejumlah upaya bisa dilakukan untuk mengerem tenggelamnya wilayah pantai utara di Jawa, termasuk Jakarta. Itu seperti membuat tempat parkir air, zonasi bangunan, serta sejumlah mitigasi dan adaptasi lain. @aik_arif #Iptek #AdadiKompas https://t.co/lHA99uZz0d",https:twitter.com/KompasData/status/1446022484600393737,"Palmerah, Jakarta"
Wed Oct 06 03:29:34 +0000 2021,ecosocrights,"Pembagian wilayah itu umum dilakukan oleh masyarakat adat. Di Sikka, Flores dikenal dgn uma ongen. Ilmu itu kini dikembangkan dunia Internasional dgn nama permakultur yg mengajarkan sistem zonasi. https://t.co/RcctRZnKQg",https:twitter.com/ecosocrights/status/1445592037663801344,Jakarta
Tue Oct 05 06:31:56 +0000 2021,bpsplpadang,BPSPL Padang menyampaikan tanggapan terkait status kawasan dimana tiga dari empat pulau masuk ke dalam Kawasan konservasi dalam rancangan Rencana Zonasi Wilayah Pesisir dan Pulau-Pulau Kecil (RZWP3K) Provinsi Kepulauan Riau...,https:twitter.com/bpsplpadang/status/1445275544782729216,Kota Padang
Tue Oct 05 04:30:34 +0000 2021,bpsplpadang,BPSPL Padang menyampaikan tanggapan terkait status kawasan dimana tiga dari empat pulau masuk ke dalam Kawasan konservasi dalam rancangan Rencana Zonasi Wilayah Pesisir dan Pulau-Pulau Kecil (RZWP3K) Provinsi Kepulauan Riau...,https:twitter.com/bpsplpadang/status/1445245000430673924,Kota Padang
Wed Oct 13 05:54:04 +0000 2021,FOURFOURFOUR129,"@schfess nder 600m kata aku masuk deh ke zonasi. Kalo kamu punya laptop/komputer kamu ukur jarak lurus di maps di laptop, soalnya waktu ppdb ade aku kemaren gituu.",https:twitter.com/FOURFOURFOUR129/status/1448165119783964674,hooh
Wed Oct 13 02:07:50 +0000 2021,sinosijac,"@schfess ini ppdb jakarta bukan? sepengalamanku, ppdb jakarta kalau lewat zonasi itu berdasarkan rt/rw terdekat sekolah, bukan berdasarkan meternya. tapi aku gak tahu ya soal ppdb wilayah lain, semangat utk adeknya semoga masuk sekolah yang diinginkan.",https:twitter.com/sinosijac/status/1448108186855223297,"she/her, harshword."
Tue Oct 12 05:08:06 +0000 2021,mengcintamu,"@J4KEYOON ppdb kalo ke negeri 50% jalur zonasi, afirmasi 20%, umum (rapot, japres) 25%, sama anak guru / perpindahan tugas wali 4% keterimanya",https:twitter.com/mengcintamu/status/1447791164048883718, amii / zeara
Mon Oct 11 12:19:26 +0000 2021,ReghyHayu,"@sbyfess Zonasi, nilai raport sama ada jalur khusus. Coba cek di web PPDB aja",https:twitter.com/ReghyHayu/status/1447537324930207751,Jawa Timur
Thu Oct 07 14:26:21 +0000 2021,yunnaayy24,"@completeinbae @cyonisasi Turun kalo secara minat dan kualitas nilai, yg kejadian sebelumnya gitu soalnya sampe akhirnya agak bebenah sekolahnya ibaratnya jualan dr segi lain buat dapet kepercayaan wali murid ditambah kondisi skrg ppdb pake zonasi. Yg skrg mungkin ga drastis tp berefek pasti ttp",https:twitter.com/yunnaayy24/status/1446119712383909896,Indonesia
Thu Oct 07 12:38:06 +0000 2021,schfess,"sch! Ya Allah hidup itu memang pilihan, tapi kalau masalah pendidikan🎒🏫📚🎓 aku bener-bener pasrah, presentase ppdb SMA jalur zonasi 50%, semoga aja ada harapan aamiin. Sender percaya Tuhan pasti memberikan yang terbaik ☺, semoga juga aku bisa ikutan bimbel🤗 semangat semua!",https:twitter.com/schfess/status/1446092469943169024,RULES & Links 👉
Thu Oct 07 07:52:35 +0000 2021,darmantompul,"Sistem Zonasi dalam PPDB (input) mungkin bisa dibilang punya andil yang cukup besar, hingga sebaran nilai di SMA/MA/SMK negeri (output) bisa sangat bervariasi.

Beda dengan swasta yang masuk list, tidak ada zonasi²an di sana.

Semoga ada yg bahas ini.

https://t.co/z0wWoEjXDW",https:twitter.com/darmantompul/status/1446020615580700676,
Thu Oct 07 06:21:53 +0000 2021,nty_____aaa,"ya ampun presentase daftar ppdb sma jalur zonasi 50%, aku hanya bisa tersenyum 😄",https:twitter.com/nty_____aaa/status/1445997790233038848,
Tue Oct 05 12:34:57 +0000 2021,Moonyxandrose,"ganti juga dong kebijakan. ppdb dki semakin dipersulit. ada jalur umum, jalur lokal, jalur prestasi. padahal dulu tuh ppdb dki murni jalur umum semua. gua yakin bisa masuk jalur umum. tp pas gua kelas 3 smp saat itu, ketentuan berubah berdasarkan sistem zonasi 😌",https:twitter.com/Moonyxandrose/status/1445366899039039491,Amazon lily
Tue Oct 05 05:51:27 +0000 2021,boolagingambis,"@schfess ppdb-zonasi-masuk ptn, gimana maksudnya nder..",https:twitter.com/boolagingambis/status/1445265354989522948,
Tue Oct 05 01:29:04 +0000 2021,tin_tinri,"@diansyah_rifky @abiridwan2173 Lolos Jalur affirmassi usia lanjut 😂#hidup tua !! Membayangkan kan ada jalur zonasi radius, spt PPdB 🤣😂 krn skolahan saya hnya 200 meter dr rmh hahahah",https:twitter.com/tin_tinri/status/1445199326074966016,"Yogyakarta, Indonesia"
Tue Oct 05 00:03:25 +0000 2021,sukaindomilky,"@subschfess bisa, tapi liat urutan alur ppdb dulu nya nder, misalnya di sma ku dlu, itu urutannya jalur prestasi dulu, kemudian afirmasi, zonasi, dan terakhir tes mandiri. masing-masing jalur pendaftaran itu ada batasan tanggalnya, jadi coba kamu cek dulu aja tanggal-tanggalnya",https:twitter.com/sukaindomilky/status/1445177771714441219,zaramaraz
Mon Oct 04 23:57:23 +0000 2021,subschfess,"sch! buat kakak2 kls 10 yg kemaren ppdb, mau nanya kalo misal kita daftar di sekolah A pkek jalur zonasi, nah ternyata aku ngga diterima trs klo aku mau daftar tpi pindah lewat jalur prestasi tpi disekolah yg sama, kira2 bisa ngga? tia",https:twitter.com/subschfess/status/1445176254102048772,RULES 👉
Sat Oct 09 08:03:03 +0000 2021,NusadailyCom,"Wali Kota Pontianak Jelaskan Masalah Zonasi Pendidikan Pada Komisi X
https://t.co/IgDenkbUAL",https:twitter.com/NusadailyCom/status/1446748027989921794,Indonesia
Sat Oct 09 07:56:25 +0000 2021,DEWITOGEL1,Wali Kota Pontianak sampaikan masalah zonasi pendidikan kepada DPR https://t.co/Hxk9iIjsT3,https:twitter.com/DEWITOGEL1/status/1446746357319020545,JAKARTA
Sat Oct 09 07:27:43 +0000 2021,bocorantogelHK,Wali Kota Pontianak sampaikan masalah zonasi pendidikan kepada DPR https://t.co/o4fMaKa9TE,https:twitter.com/bocorantogelHK/status/1446739133850861571,Vietnam
Fri Oct 08 18:10:05 +0000 2021,antaranews,Wali Kota Pontianak sampaikan masalah zonasi pendidikan kepada DPR https://t.co/A9t1uJ1r1C,https:twitter.com/antaranews/status/1446538403672039425,NKRI
Fri Oct 08 16:35:58 +0000 2021,WismaBeritaCom,Wali Kota Pontianak sampaikan masalah zonasi pendidikan kepada DPR. https://t.co/sa1RGZUwta https://t.co/MB4TrNpWgO,https:twitter.com/WismaBeritaCom/status/1446514719217500167,INDONESIA
Thu Oct 07 12:38:06 +0000 2021,schfess,"sch! Ya Allah hidup itu memang pilihan, tapi kalau masalah pendidikan🎒🏫📚🎓 aku bener-bener pasrah, presentase ppdb SMA jalur zonasi 50%, semoga aja ada harapan aamiin. Sender percaya Tuhan pasti memberikan yang terbaik ☺, semoga juga aku bisa ikutan bimbel🤗 semangat semua!",https:twitter.com/schfess/status/1446092469943169024,RULES & Links 👉
Thu Oct 07 06:30:03 +0000 2021,kumparan,Apakah sistem zonasi pada Penerimaan Peserta Didik Baru di Indonesia merupakan hal yang mengancam HAM dalam konteks Hak Atas Pendidikan yang inklusif dan berkualitas? #userstory https://t.co/hPFYNgFoN9,https:twitter.com/kumparan/status/1445999844846276612,
Wed Oct 13 09:42:01 +0000 2021,svpearb,@convomf Emng zonasi nya kl...,https:twitter.com/svpearb/status/1448222484189220865,+18 | she/they
Wed Oct 13 09:29:21 +0000 2021,_yeollaa,"@schfess Lewat zonasi masuk nder, ga liat nilai. Kalo liat umur tergantung sekolahnya",https:twitter.com/_yeollaa/status/1448219294949511175,READ CARRD BYF! GW MULFAN Y
Wed Oct 13 08:41:16 +0000 2021,arzena_asteroid,"@schfess HAHA. Sama, males bgt gw terpaksa msk swasta cm gara"" zonasi, kesel gw belum kelar sampe skrng😭 swasta mahal, malah jd beban rasanya",https:twitter.com/arzena_asteroid/status/1448207196488024064,bungkusan jelly
Wed Oct 13 07:44:32 +0000 2021,seBALIKPAPAN,"Aturan Zonasi PKL di Balikpapan, DPRD Usul Sejumlah Kawasan Disulap Jadi Wisata Kuliner https://t.co/2ly3VU5w4G",https:twitter.com/seBALIKPAPAN/status/1448192919496658945,Balikpapan
Wed Oct 13 07:30:45 +0000 2021,Info_BPN,"Aturan Zonasi PKL di Balikpapan, DPRD Usul Sejumlah Kawasan Disulap Jadi Wisata Kuliner - Tribun Kaltim https://t.co/vz9SfvZArn https://t.co/HxaXDGk6qU",https:twitter.com/Info_BPN/status/1448189450882748417,Kota Balikpapan
Wed Oct 13 06:40:36 +0000 2021,WendySoko,Ya allah pengen rabi. Nik boten saget lewat jalur tawangmangu-sarangan. Lewat jalur zonasi boten nopo2.,https:twitter.com/WendySoko/status/1448176829647364099,indonesia
Wed Oct 13 05:54:04 +0000 2021,FOURFOURFOUR129,"@schfess nder 600m kata aku masuk deh ke zonasi. Kalo kamu punya laptop/komputer kamu ukur jarak lurus di maps di laptop, soalnya waktu ppdb ade aku kemaren gituu.",https:twitter.com/FOURFOURFOUR129/status/1448165119783964674,hooh
Wed Oct 13 05:28:32 +0000 2021,lovablefishy,Btw ini emang yang elimination episode 8 tuh top 8 based on negara ya? Udah kek daftar sekolah dijkt aja based on zonasi,https:twitter.com/lovablefishy/status/1448158692923248643,The Town They Paint
Wed Oct 13 05:17:13 +0000 2021,Nian10101,@infomjkt Sebenare program angkotan gratis gae anak SD-SMP-SMA iku wes apik min dadi arek2 ra gowo kendaraan pribadi dan semisal pengen gowo motor kudu onok SIM/mancal. Soale kan saiki rerata gae zonasi,https:twitter.com/Nian10101/status/1448155843736702977,
Wed Oct 13 05:02:53 +0000 2021,herricahyadi,"@ciroooo17 Haha sy ga tau, kl negeri kyknya ada standar nilai IPA. Mgkn jg tergantung zonasi. Dulu aja, waktu SD/SMP, kl mau ke sekolah favorit, hrs ckp nilainya. Kl ga, mentok cm bs di sekitar domisili.",https:twitter.com/herricahyadi/status/1448152237797117954,"Istanbul, Turkey"
Wed Oct 13 04:42:36 +0000 2021,mahesatiwi,"12. Peta zonasi risiko daerah dihitung berdasarkan indikator-indikator kesehatan masyarakat dengan menggunakan skoring dan pembobotan. #ZonaHijauTetapProkes
https://t.co/QPVs5qmXYb",https:twitter.com/mahesatiwi/status/1448147133375205380,"DKI Jakarta, Indonesia"
Wed Oct 13 04:40:25 +0000 2021,mahesatiwi,"5. Untuk daerah zona hijau dengan status tidak terdampak covid-19, tidak lagi tercatat dalam peta zonasi. #ZonaHijauTetapProkes
https://t.co/MPLplqPJEH",https:twitter.com/mahesatiwi/status/1448146585305509891,"DKI Jakarta, Indonesia"
Wed Oct 13 04:26:28 +0000 2021,eaJcrown,"@wonpiriy @day6confess aku kelas 12, omg ko bisa sekolah kotaaa bukannya zonasi?",https:twitter.com/eaJcrown/status/1448143072882147328,jae's
Wed Oct 13 04:10:39 +0000 2021,akurizalhast,PMDK/Prestasi ato ZONASI https://t.co/rHRqEiX2zc,https:twitter.com/akurizalhast/status/1448139091065782274,"Kota Surabaya, Jawa Timur"
Wed Oct 13 04:09:19 +0000 2021,njewyy,@BadmintonTalk jalur zonasi,https:twitter.com/njewyy/status/1448138755148173313,
Wed Oct 13 04:02:26 +0000 2021,BantengnyaPDIP,"12. Peta zonasi risiko daerah dihitung berdasarkan indikator-indikator kesehatan masyarakat dengan menggunakan skoring dan pembobotan. #ZonaHijauTetapProkes
https://t.co/YaSthpLG0e",https:twitter.com/BantengnyaPDIP/status/1448137023571652615,
Wed Oct 13 04:02:22 +0000 2021,BantengnyaPDIP,"5. Untuk daerah zona hijau dengan status tidak terdampak covid-19, tidak lagi tercatat dalam peta zonasi. #ZonaHijauTetapProkes
https://t.co/qyUbitUIHG",https:twitter.com/BantengnyaPDIP/status/1448137010154074114,
Wed Oct 13 03:37:47 +0000 2021,chiroshii,If it weren't for zonasi,https:twitter.com/chiroshii/status/1448130820724572168,
Wed Oct 13 03:37:04 +0000 2021,Lionelbarcalope,"12. Peta zonasi risiko daerah dihitung berdasarkan indikator-indikator kesehatan masyarakat dengan menggunakan skoring dan pembobotan. #ZonaHijauTetapProkes
https://t.co/pCxQV7KFjE",https:twitter.com/Lionelbarcalope/status/1448130640587542532,"Medan Kota, Indonesia"
Wed Oct 13 03:37:00 +0000 2021,Lionelbarcalope,"5. Untuk daerah zona hijau dengan status tidak terdampak covid-19, tidak lagi tercatat dalam peta zonasi. #ZonaHijauTetapProkes
https://t.co/TJDeGkfMzg",https:twitter.com/Lionelbarcalope/status/1448130626524041219,"Medan Kota, Indonesia"
Wed Oct 13 03:16:34 +0000 2021,onewungie,Ada jasa upgrade/update windows ke windows 10 gak? #zonauang #zonajajanᅠᅠᅠ #zonasi,https:twitter.com/onewungie/status/1448125482294202375,
Wed Oct 13 03:06:31 +0000 2021,shbatsetan,"@schfess kalo dijakarta kemungkinan bisa dpt deh diprestasi soalnya juga anak sd jarang yg ada prestasinya, klo zonasi ya semoga aja nder masuk walaupun lewat umur coba semua sekolah😀 kuota zonasi lebih banyak biasanya, dkzkw semoga dpt negeri nder",https:twitter.com/shbatsetan/status/1448122955041439744,bima sakti
